6,6,2,2,11,9,1
6,6,2,2,11,8,1
6,6,2,2,11,7,1
6,6,2,2,8,9,1
6,6,2,2,8,8,1
6,6,2,2,8,7,1
6,6,2,2,12,9,1
6,6,2,2,12,8,1
6,6,2,2,12,7,1
6,6,2,4,11,9,1
6,6,2,4,11,8,1
6,6,2,4,11,7,1
6,6,2,4,8,9,1
6,6,2,4,8,8,1
6,6,2,4,8,7,1
6,6,2,4,12,9,1
6,6,2,4,12,8,1
6,6,2,4,12,7,1
6,6,2,10,11,9,1
6,6,2,10,11,8,1
6,6,2,10,11,7,1
6,6,2,10,8,9,1
6,6,2,10,8,8,1
6,6,2,10,8,7,1
6,6,2,10,12,9,1
6,6,2,10,12,8,1
6,6,2,10,12,7,1
6,6,3,2,11,9,1
6,6,3,2,11,8,1
6,6,3,2,11,7,1
6,6,3,2,8,9,1
6,6,3,2,8,8,1
6,6,3,2,8,7,1
6,6,3,2,12,9,1
6,6,3,2,12,8,1
6,6,3,2,12,7,1
6,6,3,4,11,9,1
6,6,3,4,11,8,1
6,6,3,4,11,7,1
6,6,3,4,8,9,1
6,6,3,4,8,8,1
6,6,3,4,8,7,1
6,6,3,4,12,9,1
6,6,3,4,12,8,1
6,6,3,4,12,7,1
6,6,3,10,11,9,1
6,6,3,10,11,8,1
6,6,3,10,11,7,1
6,6,3,10,8,9,1
6,6,3,10,8,8,1
6,6,3,10,8,7,1
6,6,3,10,12,9,1
6,6,3,10,12,8,1
6,6,3,10,12,7,1
6,6,4,2,11,9,1
6,6,4,2,11,8,1
6,6,4,2,11,7,1
6,6,4,2,8,9,1
6,6,4,2,8,8,1
6,6,4,2,8,7,1
6,6,4,2,12,9,1
6,6,4,2,12,8,1
6,6,4,2,12,7,1
6,6,4,4,11,9,1
6,6,4,4,11,8,1
6,6,4,4,11,7,1
6,6,4,4,8,9,1
6,6,4,4,8,8,1
6,6,4,4,8,7,1
6,6,4,4,12,9,1
6,6,4,4,12,8,1
6,6,4,4,12,7,1
6,6,4,10,11,9,1
6,6,4,10,11,8,1
6,6,4,10,11,7,1
6,6,4,10,8,9,1
6,6,4,10,8,8,1
6,6,4,10,8,7,1
6,6,4,10,12,9,1
6,6,4,10,12,8,1
6,6,4,10,12,7,1
6,6,5,2,11,9,1
6,6,5,2,11,8,1
6,6,5,2,11,7,1
6,6,5,2,8,9,1
6,6,5,2,8,8,1
6,6,5,2,8,7,1
6,6,5,2,12,9,1
6,6,5,2,12,8,1
6,6,5,2,12,7,1
6,6,5,4,11,9,1
6,6,5,4,11,8,1
